intervalo,c_j,f_j,h_j,F_j,H_j
"[0,5)",2.5,79,0.371,79,0.371
"[5,10)",7.5,33,0.155,112,0.526
"[10,15)",12.5,18,0.085,130,0.611
"[15,20)",17.5,10,0.047,140,0.658
"[20,25)",22.5,13,0.061,153,0.719
"[25,30)",27.5,6,0.028,159,0.747
"[30,40)",35,15,0.07,174,0.817
"[40,50)",45,9,0.042,183,0.859
"[50,60)",55,11,0.052,194,0.911
"[60,70)",65,2,0.009,196,0.92
"[70,80)",75,5,0.023,201,0.943
"[80,120)",100,8,0.038,209,0.981
"[120,145)",132.5,2,0.009,211,0.99
"[145,170)",157.5,0,0,211,0.99
"[170,195)",182.5,0,0,211,0.99
"[195,220)",207.5,1,0.005,212,0.995
"[220,245)",232.5,0,0,212,0.995
"[245,270)",257.5,1,0.005,213,1
